,role_0,role_1,role_2,role_3
248060,0.25,0.25,0.25,0.25
248067,0.25,0.25,0.25,0.25
248072,0.25,0.25,0.25,0.25
248086,0.25,0.25,0.25,0.25
248090,0.25,0.25,0.25,0.25
248100,0.25,0.25,0.25,0.25
248160,0.25,0.25,0.25,0.25
248172,0.25,0.25,0.25,0.25
248196,0.25,0.25,0.25,0.25
248203,0.25,0.25,0.25,0.25
248233,0.25,0.25,0.25,0.25
248247,0.25,0.25,0.25,0.25
248256,0.25,0.25,0.25,0.25
248259,0.25,0.25,0.25,0.25
248283,0.25,0.25,0.25,0.25
248295,0.25,0.25,0.25,0.25
248302,0.25,0.25,0.25,0.25
248308,0.25,0.25,0.25,0.25
248310,0.25,0.25,0.25,0.25
248318,0.25,0.25,0.25,0.25
248322,0.25,0.25,0.25,0.25
248334,0.25,0.25,0.25,0.25
248335,0.25,0.25,0.25,0.25
248343,0.25,0.25,0.25,0.25
248364,0.25,0.25,0.25,0.25
248374,0.25,0.25,0.25,0.25
248390,0.25,0.25,0.25,0.25
248402,0.25,0.25,0.25,0.25
248417,0.25,0.25,0.25,0.25
248423,0.25,0.25,0.25,0.25
248447,0.25,0.25,0.25,0.25
248458,0.25,0.25,0.25,0.25
248461,0.25,0.25,0.25,0.25
248485,0.25,0.25,0.25,0.25
248495,0.25,0.25,0.25,0.25
248498,0.25,0.25,0.25,0.25
248500,0.25,0.25,0.25,0.25
248502,0.25,0.25,0.25,0.25
248512,0.25,0.25,0.25,0.25
248527,0.25,0.25,0.25,0.25
248534,0.25,0.25,0.25,0.25
248546,0.25,0.25,0.25,0.25
248549,0.25,0.25,0.25,0.25
248557,0.25,0.25,0.25,0.25
248561,0.25,0.25,0.25,0.25
248562,0.25,0.25,0.25,0.25
248576,0.25,0.25,0.25,0.25
248599,0.25,0.25,0.25,0.25
248600,0.25,0.25,0.25,0.25
248624,0.25,0.25,0.25,0.25
248626,0.25,0.25,0.25,0.25
248669,0.25,0.25,0.25,0.25
248690,0.25,0.25,0.25,0.25
248698,0.25,0.25,0.25,0.25
248701,0.25,0.25,0.25,0.25
248707,0.25,0.25,0.25,0.25
248715,0.25,0.25,0.25,0.25
248727,0.25,0.25,0.25,0.25
248758,0.25,0.25,0.25,0.25
248768,0.25,0.25,0.25,0.25
248769,0.25,0.25,0.25,0.25
248789,0.25,0.25,0.25,0.25
248812,0.25,0.25,0.25,0.25
248844,0.25,0.25,0.25,0.25
248859,0.25,0.25,0.25,0.25
248866,0.25,0.25,0.25,0.25
248870,0.25,0.25,0.25,0.25
248872,0.25,0.25,0.25,0.25
248881,0.25,0.25,0.25,0.25
248899,0.25,0.25,0.25,0.25
248905,0.25,0.25,0.25,0.25
248907,0.25,0.25,0.25,0.25
248915,0.25,0.25,0.25,0.25
248927,0.25,0.25,0.25,0.25
248947,0.25,0.25,0.25,0.25
248949,0.25,0.25,0.25,0.25
248951,0.25,0.25,0.25,0.25
248966,0.25,0.25,0.25,0.25
248993,0.25,0.25,0.25,0.25
249005,0.25,0.25,0.25,0.25
249029,0.25,0.25,0.25,0.25
249045,0.25,0.25,0.25,0.25
249056,0.25,0.25,0.25,0.25
249061,0.25,0.25,0.25,0.25
249062,0.25,0.25,0.25,0.25
249083,0.25,0.25,0.25,0.25
249085,0.25,0.25,0.25,0.25
249088,0.25,0.25,0.25,0.25
249100,0.25,0.25,0.25,0.25
249106,0.25,0.25,0.25,0.25
249113,0.25,0.25,0.25,0.25
249120,0.25,0.25,0.25,0.25
249121,0.25,0.25,0.25,0.25
249122,0.25,0.25,0.25,0.25
249127,0.25,0.25,0.25,0.25
249134,0.25,0.25,0.25,0.25
249151,0.25,0.25,0.25,0.25
249156,0.25,0.25,0.25,0.25
249175,0.25,0.25,0.25,0.25
249184,0.25,0.25,0.25,0.25
249194,0.25,0.25,0.25,0.25
249214,0.25,0.25,0.25,0.25
249233,0.25,0.25,0.25,0.25
249249,0.25,0.25,0.25,0.25
249253,0.25,0.25,0.25,0.25
249258,0.25,0.25,0.25,0.25
249282,0.25,0.25,0.25,0.25
249302,0.25,0.25,0.25,0.25
249304,0.25,0.25,0.25,0.25
249306,0.25,0.25,0.25,0.25
249322,0.25,0.25,0.25,0.25
249323,0.25,0.25,0.25,0.25
249338,0.25,0.25,0.25,0.25
249341,0.25,0.25,0.25,0.25
249343,0.25,0.25,0.25,0.25
249353,0.25,0.25,0.25,0.25
249391,0.25,0.25,0.25,0.25
249398,0.25,0.25,0.25,0.25
249399,0.25,0.25,0.25,0.25
249417,0.25,0.25,0.25,0.25
249438,0.25,0.25,0.25,0.25
249461,0.25,0.25,0.25,0.25
249480,0.25,0.25,0.25,0.25
249486,0.25,0.25,0.25,0.25
249489,0.25,0.25,0.25,0.25
249510,0.25,0.25,0.25,0.25
249513,0.25,0.25,0.25,0.25
249522,0.25,0.25,0.25,0.25
249526,0.25,0.25,0.25,0.25
249533,0.25,0.25,0.25,0.25
249540,0.25,0.25,0.25,0.25
249551,0.25,0.25,0.25,0.25
249559,0.25,0.25,0.25,0.25
249568,0.25,0.25,0.25,0.25
249590,0.25,0.25,0.25,0.25
249598,0.25,0.25,0.25,0.25
249601,0.25,0.25,0.25,0.25
249605,0.25,0.25,0.25,0.25
249620,0.25,0.25,0.25,0.25
249625,0.25,0.25,0.25,0.25
249629,0.25,0.25,0.25,0.25
249642,0.25,0.25,0.25,0.25
249644,0.25,0.25,0.25,0.25
249645,0.25,0.25,0.25,0.25
249654,0.25,0.25,0.25,0.25
249664,0.25,0.25,0.25,0.25
249670,0.25,0.25,0.25,0.25
249689,0.25,0.25,0.25,0.25
249693,0.25,0.25,0.25,0.25
249719,0.25,0.25,0.25,0.25
249723,0.25,0.25,0.25,0.25
249732,0.25,0.25,0.25,0.25
249740,0.25,0.25,0.25,0.25
249747,0.25,0.25,0.25,0.25
249751,0.25,0.25,0.25,0.25
249754,0.25,0.25,0.25,0.25
249755,0.25,0.25,0.25,0.25
249769,0.25,0.25,0.25,0.25
249801,0.25,0.25,0.25,0.25
249826,0.25,0.25,0.25,0.25
249830,0.25,0.25,0.25,0.25
249836,0.25,0.25,0.25,0.25
249839,0.25,0.25,0.25,0.25
249845,0.25,0.25,0.25,0.25
249878,0.25,0.25,0.25,0.25
249885,0.25,0.25,0.25,0.25
249887,0.25,0.25,0.25,0.25
249904,0.25,0.25,0.25,0.25
249931,0.25,0.25,0.25,0.25
249932,0.25,0.25,0.25,0.25
249948,0.25,0.25,0.25,0.25
249969,0.25,0.25,0.25,0.25
249971,0.25,0.25,0.25,0.25
249981,0.25,0.25,0.25,0.25
249991,0.25,0.25,0.25,0.25
250003,0.25,0.25,0.25,0.25
250008,0.25,0.25,0.25,0.25
250012,0.25,0.25,0.25,0.25
250028,0.25,0.25,0.25,0.25
250042,0.25,0.25,0.25,0.25
250045,0.25,0.25,0.25,0.25
250048,0.25,0.25,0.25,0.25
250060,0.25,0.25,0.25,0.25
250065,0.25,0.25,0.25,0.25
250071,0.25,0.25,0.25,0.25
250077,0.25,0.25,0.25,0.25
250078,0.25,0.25,0.25,0.25
250082,0.25,0.25,0.25,0.25
250091,0.25,0.25,0.25,0.25
250094,0.25,0.25,0.25,0.25
250103,0.25,0.25,0.25,0.25
250125,0.25,0.25,0.25,0.25
250126,0.25,0.25,0.25,0.25
250154,0.25,0.25,0.25,0.25
250180,0.25,0.25,0.25,0.25
250189,0.25,0.25,0.25,0.25
250194,0.25,0.25,0.25,0.25
250195,0.25,0.25,0.25,0.25
250238,0.25,0.25,0.25,0.25
250249,0.25,0.25,0.25,0.25
250276,0.25,0.25,0.25,0.25
250287,0.25,0.25,0.25,0.25
250301,0.25,0.25,0.25,0.25
250309,0.25,0.25,0.25,0.25
250311,0.25,0.25,0.25,0.25
250319,0.25,0.25,0.25,0.25
250336,0.25,0.25,0.25,0.25
250337,0.25,0.25,0.25,0.25
250349,0.25,0.25,0.25,0.25
250389,0.25,0.25,0.25,0.25
250404,0.25,0.25,0.25,0.25
250415,0.25,0.25,0.25,0.25
250417,0.25,0.25,0.25,0.25
250447,0.25,0.25,0.25,0.25
250453,0.25,0.25,0.25,0.25
250455,0.25,0.25,0.25,0.25
250460,0.25,0.25,0.25,0.25
250471,0.25,0.25,0.25,0.25
250473,0.25,0.25,0.25,0.25
250474,0.25,0.25,0.25,0.25
250476,0.25,0.25,0.25,0.25
250484,0.25,0.25,0.25,0.25
250488,0.25,0.25,0.25,0.25
250499,0.25,0.25,0.25,0.25
250501,0.25,0.25,0.25,0.25
250516,0.25,0.25,0.25,0.25
250531,0.25,0.25,0.25,0.25
250540,0.25,0.25,0.25,0.25
250544,0.25,0.25,0.25,0.25
250564,0.25,0.25,0.25,0.25
250565,0.25,0.25,0.25,0.25
250576,0.25,0.25,0.25,0.25
250585,0.25,0.25,0.25,0.25
250588,0.25,0.25,0.25,0.25
250596,0.25,0.25,0.25,0.25
250602,0.25,0.25,0.25,0.25
250631,0.25,0.25,0.25,0.25
250632,0.25,0.25,0.25,0.25
250635,0.25,0.25,0.25,0.25
250648,0.25,0.25,0.25,0.25
250689,0.25,0.25,0.25,0.25
250694,0.25,0.25,0.25,0.25
250696,0.25,0.25,0.25,0.25
250699,0.25,0.25,0.25,0.25
250711,0.25,0.25,0.25,0.25
250712,0.25,0.25,0.25,0.25
250716,0.25,0.25,0.25,0.25
250731,0.25,0.25,0.25,0.25
250748,0.25,0.25,0.25,0.25
250756,0.25,0.25,0.25,0.25
250758,0.25,0.25,0.25,0.25
250764,0.25,0.25,0.25,0.25
250783,0.25,0.25,0.25,0.25
250787,0.25,0.25,0.25,0.25
250791,0.25,0.25,0.25,0.25
250793,0.25,0.25,0.25,0.25
250804,0.25,0.25,0.25,0.25
250808,0.25,0.25,0.25,0.25
250819,0.25,0.25,0.25,0.25
250821,0.25,0.25,0.25,0.25
250823,0.25,0.25,0.25,0.25
250835,0.25,0.25,0.25,0.25
250865,0.25,0.25,0.25,0.25
250876,0.25,0.25,0.25,0.25
250878,0.25,0.25,0.25,0.25
250908,0.25,0.25,0.25,0.25
250919,0.25,0.25,0.25,0.25
250927,0.25,0.25,0.25,0.25
250930,0.25,0.25,0.25,0.25
250935,0.25,0.25,0.25,0.25
250945,0.25,0.25,0.25,0.25
250967,0.25,0.25,0.25,0.25
250980,0.25,0.25,0.25,0.25
250999,0.25,0.25,0.25,0.25
251006,0.25,0.25,0.25,0.25
251014,0.25,0.25,0.25,0.25
251024,0.25,0.25,0.25,0.25
251042,0.25,0.25,0.25,0.25
251048,0.25,0.25,0.25,0.25
251055,0.25,0.25,0.25,0.25
251069,0.25,0.25,0.25,0.25
251077,0.25,0.25,0.25,0.25
251097,0.25,0.25,0.25,0.25
251101,0.25,0.25,0.25,0.25
251107,0.25,0.25,0.25,0.25
251125,0.25,0.25,0.25,0.25
251166,0.25,0.25,0.25,0.25
251173,0.25,0.25,0.25,0.25
251174,0.25,0.25,0.25,0.25
251183,0.25,0.25,0.25,0.25
251185,0.25,0.25,0.25,0.25
251191,0.25,0.25,0.25,0.25
251205,0.25,0.25,0.25,0.25
251220,0.25,0.25,0.25,0.25
251229,0.25,0.25,0.25,0.25
251235,0.25,0.25,0.25,0.25
251238,0.25,0.25,0.25,0.25
251241,0.25,0.25,0.25,0.25
251253,0.25,0.25,0.25,0.25
251261,0.25,0.25,0.25,0.25
251263,0.25,0.25,0.25,0.25
251268,0.25,0.25,0.25,0.25
251273,0.25,0.25,0.25,0.25
251283,0.25,0.25,0.25,0.25
251287,0.25,0.25,0.25,0.25
251288,0.25,0.25,0.25,0.25
251293,0.25,0.25,0.25,0.25
251298,0.25,0.25,0.25,0.25
251301,0.25,0.25,0.25,0.25
251333,0.25,0.25,0.25,0.25
251337,0.25,0.25,0.25,0.25
251350,0.25,0.25,0.25,0.25
251369,0.25,0.25,0.25,0.25
251376,0.25,0.25,0.25,0.25
251384,0.25,0.25,0.25,0.25
251386,0.25,0.25,0.25,0.25
251391,0.25,0.25,0.25,0.25
251408,0.25,0.25,0.25,0.25
251433,0.25,0.25,0.25,0.25
251448,0.25,0.25,0.25,0.25
251471,0.25,0.25,0.25,0.25
251472,0.25,0.25,0.25,0.25
251494,0.25,0.25,0.25,0.25
251520,0.25,0.25,0.25,0.25
251525,0.25,0.25,0.25,0.25
251528,0.25,0.25,0.25,0.25
251558,0.25,0.25,0.25,0.25
251564,0.25,0.25,0.25,0.25
251566,0.25,0.25,0.25,0.25
251573,0.25,0.25,0.25,0.25
251575,0.25,0.25,0.25,0.25
251600,0.25,0.25,0.25,0.25
251604,0.25,0.25,0.25,0.25
251619,0.25,0.25,0.25,0.25
251667,0.25,0.25,0.25,0.25
251678,0.25,0.25,0.25,0.25
251686,0.25,0.25,0.25,0.25
251692,0.25,0.25,0.25,0.25
251730,0.25,0.25,0.25,0.25
251744,0.25,0.25,0.25,0.25
251747,0.25,0.25,0.25,0.25
251748,0.25,0.25,0.25,0.25
251750,0.25,0.25,0.25,0.25
251752,0.25,0.25,0.25,0.25
251761,0.25,0.25,0.25,0.25
251763,0.25,0.25,0.25,0.25
251790,0.25,0.25,0.25,0.25
251811,0.25,0.25,0.25,0.25
251822,0.25,0.25,0.25,0.25
251840,0.25,0.25,0.25,0.25
251849,0.25,0.25,0.25,0.25
251872,0.25,0.25,0.25,0.25
251889,0.25,0.25,0.25,0.25
251898,0.25,0.25,0.25,0.25
251915,0.25,0.25,0.25,0.25
251937,0.25,0.25,0.25,0.25
251948,0.25,0.25,0.25,0.25
251965,0.25,0.25,0.25,0.25
252008,0.25,0.25,0.25,0.25
252013,0.25,0.25,0.25,0.25
252015,0.25,0.25,0.25,0.25
252026,0.25,0.25,0.25,0.25
252031,0.25,0.25,0.25,0.25
252033,0.25,0.25,0.25,0.25
252058,0.25,0.25,0.25,0.25
252070,0.25,0.25,0.25,0.25
252074,0.25,0.25,0.25,0.25
252078,0.25,0.25,0.25,0.25
252079,0.25,0.25,0.25,0.25
252081,0.25,0.25,0.25,0.25
252117,0.25,0.25,0.25,0.25
252129,0.25,0.25,0.25,0.25
252136,0.25,0.25,0.25,0.25
252137,0.25,0.25,0.25,0.25
252156,0.25,0.25,0.25,0.25
252166,0.25,0.25,0.25,0.25
252173,0.25,0.25,0.25,0.25
252182,0.25,0.25,0.25,0.25
252188,0.25,0.25,0.25,0.25
252234,0.25,0.25,0.25,0.25
252236,0.25,0.25,0.25,0.25
252244,0.25,0.25,0.25,0.25
252246,0.25,0.25,0.25,0.25
252249,0.25,0.25,0.25,0.25
252255,0.25,0.25,0.25,0.25
252267,0.25,0.25,0.25,0.25
252270,0.25,0.25,0.25,0.25
252276,0.25,0.25,0.25,0.25
252280,0.25,0.25,0.25,0.25
252284,0.25,0.25,0.25,0.25
252301,0.25,0.25,0.25,0.25
252313,0.25,0.25,0.25,0.25
252325,0.25,0.25,0.25,0.25
252328,0.25,0.25,0.25,0.25
252353,0.25,0.25,0.25,0.25
252354,0.25,0.25,0.25,0.25
252355,0.25,0.25,0.25,0.25
252360,0.25,0.25,0.25,0.25
252361,0.25,0.25,0.25,0.25
252372,0.25,0.25,0.25,0.25
252377,0.25,0.25,0.25,0.25
252378,0.25,0.25,0.25,0.25
252379,0.25,0.25,0.25,0.25
252398,0.25,0.25,0.25,0.25
252407,0.25,0.25,0.25,0.25
252413,0.25,0.25,0.25,0.25
252414,0.25,0.25,0.25,0.25
252428,0.25,0.25,0.25,0.25
252454,0.25,0.25,0.25,0.25
252466,0.25,0.25,0.25,0.25
252476,0.25,0.25,0.25,0.25
252478,0.25,0.25,0.25,0.25
252480,0.25,0.25,0.25,0.25
252486,0.25,0.25,0.25,0.25
252490,0.25,0.25,0.25,0.25
252500,0.25,0.25,0.25,0.25
252503,0.25,0.25,0.25,0.25
252506,0.25,0.25,0.25,0.25
252508,0.25,0.25,0.25,0.25
252514,0.25,0.25,0.25,0.25
252521,0.25,0.25,0.25,0.25
252565,0.25,0.25,0.25,0.25
252569,0.25,0.25,0.25,0.25
252574,0.25,0.25,0.25,0.25
252577,0.25,0.25,0.25,0.25
252579,0.25,0.25,0.25,0.25
252605,0.25,0.25,0.25,0.25
252611,0.25,0.25,0.25,0.25
252628,0.25,0.25,0.25,0.25
252634,0.25,0.25,0.25,0.25
252657,0.25,0.25,0.25,0.25
252674,0.25,0.25,0.25,0.25
252675,0.25,0.25,0.25,0.25
252678,0.25,0.25,0.25,0.25
252679,0.25,0.25,0.25,0.25
252681,0.25,0.25,0.25,0.25
252687,0.25,0.25,0.25,0.25
252705,0.25,0.25,0.25,0.25
252708,0.25,0.25,0.25,0.25
252710,0.25,0.25,0.25,0.25
252730,0.25,0.25,0.25,0.25
252734,0.25,0.25,0.25,0.25
252735,0.25,0.25,0.25,0.25
252776,0.25,0.25,0.25,0.25
252799,0.25,0.25,0.25,0.25
252810,0.25,0.25,0.25,0.25
252821,0.25,0.25,0.25,0.25
252857,0.25,0.25,0.25,0.25
252867,0.25,0.25,0.25,0.25
252874,0.25,0.25,0.25,0.25
252886,0.25,0.25,0.25,0.25
252902,0.25,0.25,0.25,0.25
252905,0.25,0.25,0.25,0.25
252917,0.25,0.25,0.25,0.25
252933,0.25,0.25,0.25,0.25
252937,0.25,0.25,0.25,0.25
252947,0.25,0.25,0.25,0.25
252948,0.25,0.25,0.25,0.25
252955,0.25,0.25,0.25,0.25
252959,0.25,0.25,0.25,0.25
252960,0.25,0.25,0.25,0.25
252988,0.25,0.25,0.25,0.25
252996,0.25,0.25,0.25,0.25
253000,0.25,0.25,0.25,0.25
253002,0.25,0.25,0.25,0.25
253009,0.25,0.25,0.25,0.25
253013,0.25,0.25,0.25,0.25
253024,0.25,0.25,0.25,0.25
253047,0.25,0.25,0.25,0.25
253054,0.25,0.25,0.25,0.25
253062,0.25,0.25,0.25,0.25
253065,0.25,0.25,0.25,0.25
253066,0.25,0.25,0.25,0.25
253087,0.25,0.25,0.25,0.25
253125,0.25,0.25,0.25,0.25
253127,0.25,0.25,0.25,0.25
253154,0.25,0.25,0.25,0.25
253162,0.25,0.25,0.25,0.25
253163,0.25,0.25,0.25,0.25
253175,0.25,0.25,0.25,0.25
253183,0.25,0.25,0.25,0.25
253195,0.25,0.25,0.25,0.25
253201,0.25,0.25,0.25,0.25
253205,0.25,0.25,0.25,0.25
253209,0.25,0.25,0.25,0.25
253210,0.25,0.25,0.25,0.25
253222,0.25,0.25,0.25,0.25
253232,0.25,0.25,0.25,0.25
253237,0.25,0.25,0.25,0.25
253241,0.25,0.25,0.25,0.25
253242,0.25,0.25,0.25,0.25
253245,0.25,0.25,0.25,0.25
253250,0.25,0.25,0.25,0.25
253293,0.25,0.25,0.25,0.25
253324,0.25,0.25,0.25,0.25
253331,0.25,0.25,0.25,0.25
253341,0.25,0.25,0.25,0.25
253370,0.25,0.25,0.25,0.25
253408,0.25,0.25,0.25,0.25
253439,0.25,0.25,0.25,0.25
253444,0.25,0.25,0.25,0.25
253458,0.25,0.25,0.25,0.25
253477,0.25,0.25,0.25,0.25
253479,0.25,0.25,0.25,0.25
253487,0.25,0.25,0.25,0.25
253497,0.25,0.25,0.25,0.25
253520,0.25,0.25,0.25,0.25
253529,0.25,0.25,0.25,0.25
253533,0.25,0.25,0.25,0.25
253540,0.25,0.25,0.25,0.25
253547,0.25,0.25,0.25,0.25
253568,0.25,0.25,0.25,0.25
253598,0.25,0.25,0.25,0.25
253611,0.25,0.25,0.25,0.25
253624,0.25,0.25,0.25,0.25
253662,0.25,0.25,0.25,0.25
253668,0.25,0.25,0.25,0.25
253687,0.25,0.25,0.25,0.25
253688,0.25,0.25,0.25,0.25
253702,0.25,0.25,0.25,0.25
253706,0.25,0.25,0.25,0.25
253711,0.25,0.25,0.25,0.25
253726,0.25,0.25,0.25,0.25
253728,0.25,0.25,0.25,0.25
253730,0.25,0.25,0.25,0.25
253741,0.25,0.25,0.25,0.25
253750,0.25,0.25,0.25,0.25
253768,0.25,0.25,0.25,0.25
253770,0.25,0.25,0.25,0.25
253781,0.25,0.25,0.25,0.25
253784,0.25,0.25,0.25,0.25
253799,0.25,0.25,0.25,0.25
253805,0.25,0.25,0.25,0.25
253830,0.25,0.25,0.25,0.25
253846,0.25,0.25,0.25,0.25
253852,0.25,0.25,0.25,0.25
253857,0.25,0.25,0.25,0.25
253881,0.25,0.25,0.25,0.25
253883,0.25,0.25,0.25,0.25
253884,0.25,0.25,0.25,0.25
253900,0.25,0.25,0.25,0.25
253905,0.25,0.25,0.25,0.25
253917,0.25,0.25,0.25,0.25
253921,0.25,0.25,0.25,0.25
253934,0.25,0.25,0.25,0.25
253938,0.25,0.25,0.25,0.25
253953,0.25,0.25,0.25,0.25
253973,0.25,0.25,0.25,0.25
253982,0.25,0.25,0.25,0.25
253995,0.25,0.25,0.25,0.25
254001,0.25,0.25,0.25,0.25
254005,0.25,0.25,0.25,0.25
254023,0.25,0.25,0.25,0.25
254032,0.25,0.25,0.25,0.25
254058,0.25,0.25,0.25,0.25
254064,0.25,0.25,0.25,0.25
254082,0.25,0.25,0.25,0.25
254099,0.25,0.25,0.25,0.25
254117,0.25,0.25,0.25,0.25
254118,0.25,0.25,0.25,0.25
254121,0.25,0.25,0.25,0.25
254132,0.25,0.25,0.25,0.25
254139,0.25,0.25,0.25,0.25
254147,0.25,0.25,0.25,0.25
254181,0.25,0.25,0.25,0.25
254188,0.25,0.25,0.25,0.25
254196,0.25,0.25,0.25,0.25
254202,0.25,0.25,0.25,0.25
254211,0.25,0.25,0.25,0.25
254227,0.25,0.25,0.25,0.25
254230,0.25,0.25,0.25,0.25
254240,0.25,0.25,0.25,0.25
254243,0.25,0.25,0.25,0.25
254245,0.25,0.25,0.25,0.25
254271,0.25,0.25,0.25,0.25
254275,0.25,0.25,0.25,0.25
254287,0.25,0.25,0.25,0.25
254290,0.25,0.25,0.25,0.25
254321,0.25,0.25,0.25,0.25
254329,0.25,0.25,0.25,0.25
254332,0.25,0.25,0.25,0.25
254337,0.25,0.25,0.25,0.25
254346,0.25,0.25,0.25,0.25
254354,0.25,0.25,0.25,0.25
254399,0.25,0.25,0.25,0.25
254409,0.25,0.25,0.25,0.25
254413,0.25,0.25,0.25,0.25
254424,0.25,0.25,0.25,0.25
254434,0.25,0.25,0.25,0.25
254454,0.25,0.25,0.25,0.25
254473,0.25,0.25,0.25,0.25
254479,0.25,0.25,0.25,0.25
254483,0.25,0.25,0.25,0.25
254493,0.25,0.25,0.25,0.25
254511,0.25,0.25,0.25,0.25
254533,0.25,0.25,0.25,0.25
254541,0.25,0.25,0.25,0.25
254547,0.25,0.25,0.25,0.25
254560,0.25,0.25,0.25,0.25
254575,0.25,0.25,0.25,0.25
254582,0.25,0.25,0.25,0.25
254589,0.25,0.25,0.25,0.25
254597,0.25,0.25,0.25,0.25
254601,0.25,0.25,0.25,0.25
254610,0.25,0.25,0.25,0.25
254641,0.25,0.25,0.25,0.25
254642,0.25,0.25,0.25,0.25
254651,0.25,0.25,0.25,0.25
254656,0.25,0.25,0.25,0.25
254662,0.25,0.25,0.25,0.25
254680,0.25,0.25,0.25,0.25
254699,0.25,0.25,0.25,0.25
254705,0.25,0.25,0.25,0.25
254712,0.25,0.25,0.25,0.25
254719,0.25,0.25,0.25,0.25
254721,0.25,0.25,0.25,0.25
254735,0.25,0.25,0.25,0.25
254738,0.25,0.25,0.25,0.25
254739,0.25,0.25,0.25,0.25
254741,0.25,0.25,0.25,0.25
254744,0.25,0.25,0.25,0.25
254764,0.25,0.25,0.25,0.25
254777,0.25,0.25,0.25,0.25
254779,0.25,0.25,0.25,0.25
254798,0.25,0.25,0.25,0.25
254799,0.25,0.25,0.25,0.25
254800,0.25,0.25,0.25,0.25
254802,0.25,0.25,0.25,0.25
254812,0.25,0.25,0.25,0.25
254813,0.25,0.25,0.25,0.25
254845,0.25,0.25,0.25,0.25
254847,0.25,0.25,0.25,0.25
254850,0.25,0.25,0.25,0.25
254851,0.25,0.25,0.25,0.25
254861,0.25,0.25,0.25,0.25
254868,0.25,0.25,0.25,0.25
254876,0.25,0.25,0.25,0.25
254908,0.25,0.25,0.25,0.25
254910,0.25,0.25,0.25,0.25
254921,0.25,0.25,0.25,0.25
254932,0.25,0.25,0.25,0.25
254955,0.25,0.25,0.25,0.25
254959,0.25,0.25,0.25,0.25
254964,0.25,0.25,0.25,0.25
254967,0.25,0.25,0.25,0.25
255005,0.25,0.25,0.25,0.25
255011,0.25,0.25,0.25,0.25
255019,0.25,0.25,0.25,0.25
255026,0.25,0.25,0.25,0.25
255027,0.25,0.25,0.25,0.25
255029,0.25,0.25,0.25,0.25
255030,0.25,0.25,0.25,0.25
255050,0.25,0.25,0.25,0.25
255055,0.25,0.25,0.25,0.25
255083,0.25,0.25,0.25,0.25
255092,0.25,0.25,0.25,0.25
255105,0.25,0.25,0.25,0.25
255130,0.25,0.25,0.25,0.25
255134,0.25,0.25,0.25,0.25
255138,0.25,0.25,0.25,0.25
255158,0.25,0.25,0.25,0.25
255168,0.25,0.25,0.25,0.25
255177,0.25,0.25,0.25,0.25
255188,0.25,0.25,0.25,0.25
255191,0.25,0.25,0.25,0.25
255206,0.25,0.25,0.25,0.25
255216,0.25,0.25,0.25,0.25
255230,0.25,0.25,0.25,0.25
255245,0.25,0.25,0.25,0.25
255312,0.25,0.25,0.25,0.25
255314,0.25,0.25,0.25,0.25
255322,0.25,0.25,0.25,0.25
255334,0.25,0.25,0.25,0.25
255345,0.25,0.25,0.25,0.25
255357,0.25,0.25,0.25,0.25
255364,0.25,0.25,0.25,0.25
255365,0.25,0.25,0.25,0.25
255379,0.25,0.25,0.25,0.25
255382,0.25,0.25,0.25,0.25
255386,0.25,0.25,0.25,0.25
255393,0.25,0.25,0.25,0.25
255403,0.25,0.25,0.25,0.25
255409,0.25,0.25,0.25,0.25
255416,0.25,0.25,0.25,0.25
255427,0.25,0.25,0.25,0.25
255429,0.25,0.25,0.25,0.25
255457,0.25,0.25,0.25,0.25
255469,0.25,0.25,0.25,0.25
255517,0.25,0.25,0.25,0.25
255536,0.25,0.25,0.25,0.25
255539,0.25,0.25,0.25,0.25
255574,0.25,0.25,0.25,0.25
255585,0.25,0.25,0.25,0.25
255586,0.25,0.25,0.25,0.25
255587,0.25,0.25,0.25,0.25
255589,0.25,0.25,0.25,0.25
255594,0.25,0.25,0.25,0.25
255601,0.25,0.25,0.25,0.25
255649,0.25,0.25,0.25,0.25
255652,0.25,0.25,0.25,0.25
255660,0.25,0.25,0.25,0.25
255667,0.25,0.25,0.25,0.25
255692,0.25,0.25,0.25,0.25
255721,0.25,0.25,0.25,0.25
255725,0.25,0.25,0.25,0.25
255749,0.25,0.25,0.25,0.25
255756,0.25,0.25,0.25,0.25
255771,0.25,0.25,0.25,0.25
255786,0.25,0.25,0.25,0.25
255834,0.25,0.25,0.25,0.25
255848,0.25,0.25,0.25,0.25
255857,0.25,0.25,0.25,0.25
255859,0.25,0.25,0.25,0.25
255862,0.25,0.25,0.25,0.25
255864,0.25,0.25,0.25,0.25
255891,0.25,0.25,0.25,0.25
255909,0.25,0.25,0.25,0.25
255916,0.25,0.25,0.25,0.25
255920,0.25,0.25,0.25,0.25
255922,0.25,0.25,0.25,0.25
255927,0.25,0.25,0.25,0.25
255937,0.25,0.25,0.25,0.25
255938,0.25,0.25,0.25,0.25
255951,0.25,0.25,0.25,0.25
255958,0.25,0.25,0.25,0.25
255963,0.25,0.25,0.25,0.25
255981,0.25,0.25,0.25,0.25
255987,0.25,0.25,0.25,0.25
255990,0.25,0.25,0.25,0.25
256041,0.25,0.25,0.25,0.25
256048,0.25,0.25,0.25,0.25
256062,0.25,0.25,0.25,0.25
256064,0.25,0.25,0.25,0.25
256082,0.25,0.25,0.25,0.25
256090,0.25,0.25,0.25,0.25
